transcript_id	gene_name	baseMean	gcn2ko_arg_6h.vs.gcn2ko_rich_6h	gcn2ko_leu_6h.vs.gcn2ko_rich_6h	hct116_arg_3h.vs.hct116_rich_3h	hct116_leu_3h.vs.hct116_rich_3h	hela_arg_mono_3h.vs.hela_rich_mono_3h	hela_leu_mono_3h.vs.hela_rich_mono_3h	hrgfp_arg_6h.vs.hrgfp_rich_6h	hrgfp_leu_6h.vs.hrgfp_rich_6h	ragbq99l_arg_6h.vs.ragbq99l_rich_6h	ragbq99l_leu_6h.vs.ragbq99l_rich_6h	X293t_arg_6h.vs.X293t_rich_6h	X293t_hrgfp_arg_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_argtorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_leu_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_leutorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_richtorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_leu_6h.vs.X293t_rich_6h
ENST00000447839.6	ERCC6-PGBD3	83	0.833	0.498	0.569	0.78	0.459	0.186	0.679	0.23	0.358	0.463	0.561	0.158	0.223	0.303	0.155	0.364	0.699
ENST00000447944.6	PNPT1	689	0.066	-0.225	-0.068	-0.125	0.235	-0.029	0.217	-0.279	0.233	-0.144	-0.049	0.268	0.511	0.086	0.322	0.514	-0.154
ENST00000447966.6	ASIC1	70	-1.173	-0.352	-1.279	-1.267	-0.861	0.426	-0.46	0.222	-0.411	-0.247	-0.863	-0.543	0.08	-0.333	0.454	0.506	0.104
ENST00000447998.6	DCTN4	910	0.157	-0.008	0.486	0.169	0.404	0.049	0.602	0.282	0.74	0.447	0.75	0.555	0.31	0.314	0.235	0.407	0.396
ENST00000448108.6	TAF1D	419	0.681	0.199	0.817	0.156	1.349	0.45	0.615	0.106	1.293	0.753	0.558	0.018	-0.721	-0.183	-0.35	-0.851	-0.246
ENST00000448120.6	TULP3	177	0.15	0.097	0.088	-0.066	0.752	0.365	0.577	0.051	0.74	0.092	0.66	0.538	0.518	0.025	0.166	0.345	0.052
ENST00000448276.6	SMARCD2	415	-0.433	-0.721	0.243	0.181	-0.07	-0.097	-0.201	-0.282	-0.298	-0.222	-0.439	0.193	-0.222	-0.141	-0.224	-0.071	-0.473
ENST00000448372.5	SENP1	209	0.115	0.093	0.346	0.491	0.325	0.033	-0.336	-0.308	0.252	0.004	0.329	-0.012	0.46	0.09	0.127	0.349	0.177
ENST00000448775.3	CLMP	19	-5.071	-0.199	0.253	-0.267	-1.103	-0.183	-0.557	0.725	-2.04	0.8	-0.535	-0.358	-0.448	0.867	0.762	0.897	0.42
ENST00000448790.6	TOX4	585	0.132	0.297	0.24	0.236	-0.059	-0.097	-0.009	0.031	0.09	0.279	0.034	0.065	0.088	0.223	0.127	0.019	0.009
ENST00000448803.6	ZSCAN2	45	0.255	-0.021	0.99	1.055	0.045	0.843	0.518	0.49	0.623	0.17	0.446	0.86	0.432	0.385	0.058	0.296	0.385
ENST00000448864.5	RPL35A	5643	0.039	0.233	-1.027	-0.484	-1.037	-0.753	-0.325	-0.543	-0.256	-0.361	-0.794	-1	-1.92	-1.026	-1.701	-1.793	-0.898
ENST00000448903.6	AP2A2	519	-0.045	-0.036	-0.173	-0.2	0.166	0.002	0.083	-0.4	0.124	-0.115	0.187	0.235	0.062	0.045	-0.138	0.049	-0.138
ENST00000449058.6	TOM1	216	0.526	0.305	0.083	0.038	0.726	0.353	0.583	0.464	0.467	0.465	0.437	0.485	0.13	0.267	0.221	0.464	0.464
ENST00000449105.7	HNRNPLL	428	0.257	0.12	0.022	0.302	0.108	-0.013	0.013	-0.529	0.064	-0.03	0.291	-0.014	0.296	-0.197	-0.114	0.321	0.078
ENST00000449291.6	NAPRT	110	-0.25	-1.08	-0.26	-0.138	0.463	0.216	0.707	0.509	0.609	-0.235	0.183	0.372	-0.191	-0.218	0.05	-0.431	-0.239
ENST00000449592.6	TMEM120B	127	0.424	0.437	-0.002	0.247	-0.185	0.129	-0.085	0.147	0.123	0.475	0.112	0.201	0.291	0.472	0.3	-0.053	0.081
ENST00000449606.5	EARS2	214	0.307	0.46	-0.072	0.226	-0.019	-0.116	0.118	0.242	0.092	0.468	-0.115	0.185	-0.093	0.084	0.095	0.054	-0.045
ENST00000449692.3	C11orf68	153	0.091	-0.405	0.317	-0.421	0.218	0.265	0.52	-0.085	0.415	-0.439	0.297	0.553	0.402	0.166	0.738	0.377	-0.384
ENST00000449726.5	PLEKHA8	45	0.261	-0.342	-0.332	-0.115	0.045	-0.235	0.25	0.303	-0.319	-0.518	-0.005	-0.245	0.812	0.144	0.527	0.589	0.13
ENST00000449802.5	NBEAL1	109	0.078	0.661	0.101	0.696	0.477	0.464	0.235	-0.335	0.235	0.029	0.537	0.006	0.436	0.016	0.28	0.273	0.24
ENST00000449844.6	NPAS1	36	-1.307	-1.047	0.253	-0.682	0.11	-0.639	0.361	0.421	0.108	0.406	0.088	-0.277	-0.344	0.066	0.361	0.06	0.025
ENST00000449870.5	ILF3	2456	0.388	0.119	0.496	0.246	0.404	0.067	0.138	-0.127	0.28	0.097	0.431	0.398	-0.155	0.038	-0.409	-0.047	0.251
ENST00000449934.6	MICA	106	-1.044	-0.416	0.009	-0.039	-0.494	-0.464	-1.695	-1.278	-1.486	-1.586	-1.721	-1.244	-1.852	-0.933	-1.654	-1.779	-0.916
ENST00000450053.7	NBEAL2	99	-0.147	-0.34	-0.129	0.049	0.186	0.403	-0.157	-0.409	0.059	0.334	-0.198	0.378	0.341	0.106	0.645	0.348	0.074
ENST00000450114.6	WEE1	315	0.531	0.807	0.481	-0.004	0.297	0.359	0.485	0.346	0.619	0.523	0.426	0.366	0.175	0.236	0.066	0.297	0.33
ENST00000450169.6	LSM5	687	0.026	-0.079	-0.805	-0.388	-0.823	-0.091	-0.649	0.048	-0.437	-0.429	-0.462	-0.702	-0.428	-0.261	-0.377	-0.676	-0.28
ENST00000450253.6	EIF4E	545	0.427	0.213	-0.798	-0.452	-0.203	-0.115	-0.711	-0.701	-0.634	-1.118	-0.874	-0.304	-0.373	-0.231	-0.056	-0.452	-0.706
ENST00000450673.3	ARL17B	83	0.43	1.351	0.306	0.885	-0.102	0.29	0.359	0.81	0.146	0.626	0.365	-0.137	0.066	0.321	-0.174	-0.086	0.516
ENST00000450966.5	USP40	67	-0.368	0.606	-0.139	0.449	-0.457	-0.206	0.006	0.301	0.545	0.723	0.178	-0.228	0.882	0.412	0.787	0.916	0.249
ENST00000451137.6	CYR61	2022	0.724	0.696	2.504	-0.028	1.069	0.852	0.676	0.178	1.054	0.207	0.322	1.203	0.365	0.426	0.128	0.239	-0.115
ENST00000451315.6	NOL7	857	-0.25	-0.209	-0.145	-0.006	-0.49	0.08	-0.042	0.186	0.002	0.132	-0.153	-0.359	-0.807	-0.424	-0.55	-0.661	-0.076
ENST00000451899.6	OSGIN2	119	-0.1	0.181	0.5	0.083	-0.075	0.16	-0.141	0.159	0.148	0.22	0.165	0.259	0.201	0.428	0.383	0.511	0.273
ENST00000452027.2	SRSF12	64	0.207	-0.232	-2.775	-2.71	1.432	-1.76	0.157	-0.174	0.664	0.255	0.129	0.147	0.378	-0.037	0.261	0.081	0.039
ENST00000452236.2	ZBED9	32	0.74	0.261	2.111	-0.267	1.307	0.683	0.89	-0.405	1.126	0.299	1.163	1.708	1.611	1.135	0.888	0.815	0.404
ENST00000452400.6	NCOA2	182	-0.172	0.562	0.357	-0.074	0.837	0.21	0.639	0.561	0.353	0.458	0.681	0.163	0.676	0.237	0.614	0.509	0.459
ENST00000452648.7	FAM222B	78	-0.281	-1.587	-0.804	-0.693	-0.807	-0.156	-0.695	-0.642	-0.548	-0.543	-0.04	-0.691	-0.931	-0.349	-0.518	-0.869	0.281
ENST00000452722.7	CADM1	474	-0.186	-0.922	2.253	2.318	0.283	0.559	-0.322	-0.431	-0.381	-0.665	-0.16	-0.071	-0.478	-0.029	-0.269	-0.265	-0.215
ENST00000452733.6	CYTH2	168	-0.227	0.194	0.715	0.404	0.661	0.367	0.235	0.326	0.226	0.377	0.346	0.331	0.008	0.278	0.248	-0.05	0.281
ENST00000453153.6	FASTKD1	236	-0.436	-0.326	0.561	0.626	0.366	0.385	-0.239	-0.604	-0.182	-0.248	0.073	-0.064	0.132	-0.209	-0.222	0.06	0.078
ENST00000453321.7	TMEM67	151	-0.011	0.219	0.981	0.845	0.701	0.373	0.763	0.537	1.097	1.01	1.105	-0.442	-0.536	-0.34	-0.479	-0.217	0.614
ENST00000453372.6	ZNF562	112	0.406	0.078	0.768	0.059	0.489	0.334	0.564	0.328	0.838	0.927	0.879	0.432	-0.201	0.319	-0.008	0.153	0.168
ENST00000453386.6	TRA2B	2844	-0.232	0.081	0.208	0.121	-0.278	-0.09	-0.31	0.079	-0.28	-0.119	-0.255	-0.202	-0.039	-0.004	-0.137	-0.036	0.164
ENST00000454289.7	TSFM	661	-0.37	-0.176	-0.255	-0.105	-0.557	-0.145	-0.218	0.112	-0.351	-0.076	-0.355	-0.294	-0.178	-0.202	-0.04	-0.044	-0.028
ENST00000454349.6	TNRC6B	216	-0.416	0.512	0.873	0.383	0.132	-0.27	0.088	-0.158	0.26	0.026	0.164	0.153	0.153	0.011	-0.045	0.343	0.026
ENST00000454366.1	GTSE1	419	-0.714	0.113	-0.167	-0.07	-0.695	-0.34	-0.837	-0.532	-0.692	-0.289	-0.698	-0.454	-0.274	-0.223	0.014	0.21	-0.313
ENST00000454402.6	RFC5	846	0.104	-0.034	0.006	-0.06	-0.267	-0.215	-0.15	-0.628	-0.222	-0.374	-0.314	-0.012	-0.081	0.048	-0.189	-0.196	-0.563
ENST00000455127.6	FAM195B	191	-0.047	-0.382	-0.664	-0.962	-0.023	0.081	0.028	0.254	0.008	-0.518	-0.2	0.071	-0.477	-0.12	-0.268	-0.75	-0.212
ENST00000455146.7	COG6	177	-0.442	-0.821	-0.139	-0.431	-0.039	0.31	0.156	0.03	-0.053	-0.044	0.007	0.082	0.282	-0.031	0.07	0.149	-0.238
ENST00000455511.7	ANAPC7	628	0.156	-0.164	-0.14	0.051	0.162	-0.015	0.133	-0.481	0	-0.19	-0.202	0.154	0.294	-0.202	0.053	0.3	-0.335
ENST00000455566.5	PPP2R2D	151	0.731	0.703	-0.237	-0.479	-0.447	-0.385	-0.235	-0.082	-0.141	-0.016	-0.473	-0.259	-0.428	-0.076	-0.072	-0.495	-0.271
ENST00000455781.5	MAPK9	227	0.517	0.407	-0.671	0.329	-0.904	-0.308	-0.054	-0.011	-0.418	-0.215	-0.098	-0.59	-0.067	-0.15	-0.032	0.102	-0.001
ENST00000455809.5	TAMM41	183	0.439	0.225	-0.414	0.235	-0.129	0.063	0.527	0.275	0.248	0.348	0.071	0.129	0.197	0.264	0.275	0.304	0.047
ENST00000455895.6	BSDC1	178	-0.125	0.236	0.37	0.042	0.218	0.115	0.438	0.82	0.455	0.497	0.436	0.244	-0.038	0.331	0.248	0.045	0.545
ENST00000455976.6	DUT	1125	0.047	-0.599	0.029	0.167	-0.575	-0.47	-0.282	-0.086	-0.523	-0.687	-0.185	-0.344	-0.736	-0.236	-0.329	-0.386	-0.233
ENST00000456283.6	ZNF714	74	0.26	-0.186	-0.206	-0.142	-0.12	-0.076	0.006	-0.607	0.282	-0.205	0.453	0.66	0.68	0.667	0.298	0.626	0.436
ENST00000456318.5	POLR2H	728	0.123	-0.387	-0.622	-0.5	-0.831	-0.467	-0.55	-0.125	-0.404	-0.485	-0.64	-0.4	-0.301	-0.249	-0.162	-0.405	-0.586
ENST00000456397.6	TM2D2	428	-0.935	0.046	-0.255	0.051	-0.875	-0.015	-1.15	-0.261	-1.074	-0.514	-0.973	-0.719	-0.136	-0.288	-0.119	-0.51	-0.562
ENST00000456430.6	CAND2	81	0.349	0.275	2.111	2.176	1.11	-0.639	0.018	-0.323	0.287	0.109	-0.016	0.332	-0.022	-0.149	0.037	0.096	-0.319
ENST00000456935.6	MAN2B1	257	0.175	0.077	-0.083	-0.166	0.743	0.098	0.017	-0.32	0.056	-0.04	-0.095	-0.278	-1.183	-0.448	-0.806	-1.058	-0.431
ENST00000456936.3	TMED7	883	-0.83	0.146	-0.136	0.181	-0.533	0.164	-0.512	-0.052	-0.812	-0.263	-0.47	-0.315	0.056	-0.033	0.137	0.131	-0.105
ENST00000457010.6	ARMC5	66	1.003	-0.094	0.87	0.411	0.98	0.112	0.076	-0.355	0.697	-0.038	0.549	0.829	0.219	-0.262	-0.322	0.057	-0.078
ENST00000457062.6	FAM135A	85	-0.142	-0.898	-0.554	-0.074	-0.728	0.079	-0.729	-0.454	-0.903	-0.635	-0.382	-0.107	0.319	0.006	0.28	0.079	-0.362
ENST00000457167.8	DNAJC7	1383	-0.278	-0.295	-0.05	-0.05	0.072	-0.03	0.102	-0.09	0.094	-0.065	0.008	-0.08	-0.206	-0.023	-0.333	-0.239	-0.041
ENST00000457308.5	DHX57	257	0.609	0.548	0.933	0.077	-0.121	-0.149	-0.374	-0.721	0.195	0.047	0.144	0.078	0.403	0.065	-0.292	0.296	-0.197
ENST00000457354.6	TMX1	1234	-0.447	-0.509	-0.45	-0.164	-0.665	-0.185	-0.537	-0.331	-0.406	-0.191	-0.306	-0.432	-0.425	-0.265	-0.27	-0.488	-0.298
ENST00000457408.6	TMED4	605	0.151	-0.013	0.507	0.266	-0.267	-0.242	0.296	0.285	0.368	-0.069	0.127	0.198	-0.343	-0.073	-0.25	-0.409	-0.019
ENST00000457416.6	FGFR2	63	-0.755	0.216	0.04	-0.267	0.432	0.683	-0.356	-0.412	-1.004	-0.493	-0.21	-0.064	0.638	0.561	0.641	0.968	0.363
ENST00000457749.6	ZNF28	50	0.722	0.152	1.221	0.87	0.533	0.393	0.619	0.371	0.864	0.176	0.413	1.062	1.007	0.363	0.863	0.563	0.729
ENST00000457855.1	BRPF1	163	0.773	0.513	0.083	0.07	0.195	-0.019	0.305	0.195	0.418	0.258	-0.007	0.264	0.018	-0.122	-0.155	-0.015	-0.006
ENST00000458035.1	ZNF845	89	1.469	0.633	1.132	0.004	0.831	0.867	0.956	0.229	1.128	0.884	0.946	1.234	1.122	0.634	0.873	0.853	0.426
ENST00000458198.2	CDKN2AIPNL	303	0.348	0.079	-0.005	-0.535	-0.121	-0.422	0.037	0.187	0.126	-0.229	-0.248	0.148	-0.677	-0.438	-0.455	-0.652	-0.105
ENST00000458276.6	ABHD5	144	0.051	-0.271	0.109	-0.168	0.724	0.311	-0.711	-0.187	-0.246	-0.418	-0.086	-0.444	-0.258	-0.206	-0.15	-0.547	0.047
ENST00000458385.6	CFAP97	209	0.117	0.331	0.191	0.154	-0.046	-0.221	0.554	0.161	0.499	0.466	0.611	-0.087	0.343	0.099	0.177	0.113	0.671
ENST00000458549.6	TMEM64	59	-0.592	0.305	-0.705	-0.421	-1.323	-0.165	-0.936	-0.034	-1.104	-1.062	-1.117	-1.745	-0.922	-1.209	-1.001	-1.162	-0.66
ENST00000458591.6	SCFD1	741	0.166	-0.127	-0.095	0.022	0.008	-0.018	0.486	-0.053	0.079	0.029	0.307	0.031	0.519	-0.02	0.297	0.496	-0.019
ENST00000458705.6	ZNF33A	177	-0.307	0.507	1.013	0.356	1.235	0.905	1.391	0.714	0.984	0.583	0.97	0.632	0.891	0.639	0.661	0.826	0.67
ENST00000460006.5	CDS2	294	-0.172	-0.002	-0.075	0.276	-0.359	-0.152	-0.259	0.148	-0.711	-0.305	-0.382	-0.166	0.155	0.258	0.495	0.126	0.13
ENST00000460680.5	BAP1	251	-1.101	-0.529	-0.299	-0.405	-0.79	-0.408	-0.311	0.429	-0.79	-0.434	-0.498	-0.201	0.443	0.135	0.626	0.346	-0.087
ENST00000460843.5	EHMT1	251	0.206	0.082	0.204	-0.013	0.414	0.366	-0.16	-0.022	0.113	0.049	-0.049	0.343	0.319	0.233	0.144	0.241	-0.049
ENST00000460851.5	EIF2A	699	-0.043	-0.21	0.075	0.057	0.001	-0.045	0.111	-0.439	-0.008	-0.243	0.014	-0.015	-1.008	-0.228	-0.836	-0.892	-0.448
ENST00000461988.5	POR	572	0.19	-0.288	0.168	-0.133	0.005	0.039	-0.364	-0.564	-0.012	-0.32	-0.458	0.16	-0.569	-0.224	-0.41	-0.376	-0.441
ENST00000462683.5	YIPF6	280	0.25	-0.008	0.247	0.382	0.202	0.007	0.185	0.123	0.359	0.363	0.521	-0.008	-0.206	0.294	-0.031	-0.158	0.236
ENST00000462790.7	BORCS8	109	0.477	0.144	-0.673	-0.267	-0.259	-0.218	-0.127	0.323	0.818	0.355	-0.443	0.099	-0.336	-0.018	-0.348	-0.748	-0.503
ENST00000464506.1	RAB9A	341	0.289	0.342	0.357	0.626	0.532	0.32	-0.031	0.151	0.086	0.132	0.154	-0.332	0.038	0.062	0.126	-0.184	0.258
ENST00000464845.5	NAA10	1230	0.465	0.743	-0.149	-0.001	-0.247	-0.287	-0.419	-0.043	-0.219	0.022	-0.478	-0.698	-1.498	-0.551	-1.174	-1.42	-0.263
ENST00000464848.5	TTC26	282	0.264	0.257	0.471	0.06	0.322	0.226	0.871	0.368	0.87	0.852	0.882	0.614	0.738	0.338	0.295	0.763	0.522
ENST00000465139.6	ANP32A	2589	-0.299	0.31	-0.216	0.336	-0.49	-0.101	-0.531	-0.054	-0.528	0.155	-0.4	-0.408	-0.087	0.126	-0.215	-0.125	0.119
ENST00000465148.2	CCNJ	87	-0.98	-0.41	-0.332	0.062	-0.912	0.098	-0.706	-0.319	-0.455	-0.434	-0.513	-0.63	0.068	-0.315	-0.063	-0.32	-0.157
ENST00000465271.5	CNIH4	1329	-0.523	-0.335	-0.795	-0.583	-0.643	0.088	-0.593	-0.096	-0.791	-0.139	-0.45	-0.638	-0.039	-0.052	-0.075	-0.196	-0.192
ENST00000465784.6	TBC1D2	89	-0.307	-0.292	-0.032	0.032	0.28	0.149	1.305	0.331	-0.526	0.159	0.828	-1.063	-0.153	-0.297	0.013	0.438	0.908
ENST00000465995.5	DNAJC24	92	0.811	0.19	0.132	-0.481	-0.114	-0.024	0.203	0.553	0.002	0.218	-0.067	-0.632	-0.269	0.19	-0.01	-0.048	0.293
ENST00000466436.5	CD99L2	132	-0.314	-0.521	0.475	0.055	-0.305	0.103	-0.317	-0.138	-0.406	-0.61	-0.223	-0.172	-0.313	-0.344	-0.178	-0.489	-0.339
ENST00000466444.6	RWDD1	402	-0.423	-0.079	-0.946	-0.17	-0.731	-0.36	-0.92	-0.074	-0.855	-0.366	-0.665	-0.618	-0.642	-0.299	-0.543	-0.785	-0.154
ENST00000466490.6	SRPRB	1004	0.045	-0.284	-0.554	-0.272	-0.307	0.184	0.057	0.124	-0.019	0.174	-0.077	-0.181	-0.136	0.24	-0.152	-0.255	-0.196
ENST00000466681.1	MALSU1	362	-0.216	-0.811	-0.429	-0.415	-0.25	-0.062	-0.361	-0.342	-0.368	-0.642	-0.561	-0.716	-0.709	-0.664	-0.438	-0.753	-0.802
ENST00000466830.5	CMC1	188	-0.214	-0.226	-0.855	0.116	-0.531	-0.54	0.331	0.456	-0.012	-0.258	0.558	-0.317	-0.134	-0.098	0	-0.11	0.324
ENST00000467072.5	TFDP2	214	-0.043	-0.439	-0.102	0.267	0.187	0.159	0.632	0.526	0.198	0.188	0.548	0.177	0.681	0.388	0.533	0.49	0.417
ENST00000467087.5	STIM2	209	-0.611	-0.211	0.118	0.065	0.072	0.011	-0.094	-0.429	0.107	0.227	0.144	0.241	0.494	0.31	0.178	0.342	0.158
ENST00000467963.5	BRD9	179	0.203	-0.143	-0.698	-0.425	-0.222	-0.262	0.305	-0.059	0.352	-0.034	0.296	0.075	0.022	-0.301	0.097	-0.164	0.004
ENST00000468694.5	DBNL	425	0.283	0.189	-0.062	-0.336	-0.146	-0.247	0.021	0.187	0.061	-0.043	-0.297	0.127	-0.354	0.123	-0.045	-0.238	-0.017
ENST00000468695.5	ZBTB8OS	319	-0.527	-0.449	-0.526	0.032	-0.052	0.244	-0.321	0.292	-0.182	0.079	-0.397	-0.434	-0.038	0.139	-0.216	-0.349	-0.088
ENST00000468789.5	MECOM	117	0.693	0.898	0.891	0.607	0.947	0.197	0.593	0.17	0.844	0.931	0.883	1.08	1.014	0.592	0.318	0.983	0.32
ENST00000468812.5	PPIA	19129	-0.094	0.187	-0.44	-0.138	-0.154	0.084	-0.495	0.047	-0.676	-0.304	-0.608	0.055	0.065	0.208	0.155	-0.174	-0.221
ENST00000469257.1	EIF1	5207	1.248	0.263	-0.745	-0.552	-0.078	-0.109	0.068	-0.008	0.213	-0.047	0.196	-0.287	-0.665	-0.212	-0.709	-0.978	-0.28
ENST00000470487.5	GOLIM4	475	-1.486	-0.437	0.04	0.874	-0.759	0.151	-0.187	0.636	-0.653	0.276	-0.199	-0.312	0.517	0.451	0.709	0.62	0.471
ENST00000471115.5	C1orf52	306	-0.126	-0.551	0.135	0.112	-0.143	-0.112	-0.641	-0.602	-0.714	-1.058	-0.707	-0.579	-0.814	-0.542	-0.52	-0.943	-0.749
ENST00000471181.6	BRCA1	427	0.732	0.765	1.334	0.676	0.988	0.413	1.17	0.504	0.962	0.872	1.235	0.477	0.709	0.137	0.127	0.716	0.721
ENST00000471389.5	FTO	414	0.054	0.271	0.046	0.202	-0.25	0.124	-0.205	-0.195	-0.301	0.158	0.039	0.106	0.334	0.09	0.183	0.327	0.089
ENST00000471583.5	RAD51B	50	0.437	0.529	0.296	0.361	-0.174	-0.447	0.902	0.673	0.067	-0.089	0.325	0.277	0.369	0.043	-0.147	0.242	0.263
ENST00000471696.5	SELT	330	0.483	-0.168	-0.332	-0.478	-0.149	0.307	0.118	0.445	0.031	0.062	-0.295	-0.304	-0.298	-0.085	-0.453	-0.666	-0.296
ENST00000471951.6	ZMYND8	251	0.191	-0.396	0.807	0.662	1.21	0.553	0.716	0.235	0.909	0.62	1.117	0.572	0.645	0.263	0.304	0.76	0.882
ENST00000472174.6	ATP6V0B	645	-0.069	0.054	-0.56	-0.224	-0.663	-0.49	-0.237	0.195	-0.245	-0.372	-0.355	-0.434	-0.616	-0.264	-0.215	-0.495	-0.217
ENST00000472232.7	BAG1	186	-0.683	0.684	-1.502	-1.386	-0.568	-0.039	-0.531	0.78	-0.403	0.11	-0.759	-1.315	-0.746	-0.185	-0.086	-0.628	0.053
ENST00000472487.5	MYSM1	147	0.396	0.13	1.543	0.125	0.819	0.397	0.792	0.014	1.004	0.426	0.537	1.055	1.046	0.38	0.639	1.056	-0.175
ENST00000472836.1	TIMM10B	130	0.469	0.075	0.643	0.232	0.604	0.385	0.475	0.405	0.749	0.24	0.125	0.458	0.04	0.148	0.159	-0.317	0.408
ENST00000473414.5	COMMD2	288	-0.467	-0.46	-0.246	-0.223	-0.169	-0.192	0.162	0.156	-0.139	-0.113	-0.264	-0.228	0.109	0.166	0.246	0.093	0.004
ENST00000473835.6	U2SURP	1192	-0.088	0.028	0.837	0.578	0.76	0.233	0.447	-0.339	0.59	0.506	0.509	0.335	0.43	-0.017	0.018	0.567	0.302
ENST00000473989.7	UBN2	184	0.211	0.359	0.47	0.063	0.375	0.223	0.169	-0.206	0.369	0.155	0.539	0.11	0.143	0.149	-0.027	0.201	0.136
ENST00000474524.5	MED12L	51	-0.433	0.508	1.405	-0.852	0.432	0.683	-0.251	-0.576	-0.592	-0.057	-0.298	-0.425	0.186	-0.081	-0.43	0.085	-0.54
ENST00000474627.7	ATPAF2	95	0.067	0.353	-0.606	-0.408	-0.811	-0.368	0.151	0.379	0.087	-0.066	-0.01	-0.02	0.416	0.281	0.282	0.669	0.376
ENST00000474844.5	NSUN4	132	0.305	0.334	0.083	0.222	0.596	-0.014	0.609	0.478	0.467	0.314	0.282	0.279	0.126	-0.204	0.027	0.047	0.279
ENST00000474879.6	LMF2	360	0.288	-0.112	-0.497	-0.576	0.372	0.003	0.187	0.125	0.209	-0.058	-0.123	0.376	-0.673	-0.02	-0.305	-0.725	-0.093
ENST00000474889.5	PTPRG	157	-0.48	-0.125	0.072	0.443	-2.011	0.683	0.342	-0.057	0.133	0.171	0.379	0.201	0.866	0.232	0.689	0.878	0.195
ENST00000475153.5	ZNF398	168	0.541	-0.146	0.422	0.083	-0.692	0.273	0.097	-0.236	-0.123	-0.097	-0.085	0.115	-0.185	0.202	0.151	0.217	-0.283
ENST00000475243.5	VAPB	481	0.194	0.052	-0.419	-0.097	-0.441	-0.181	0.143	-0.153	0.203	-0.038	0.128	0.045	0.207	-0.054	0.008	0.136	-0.163
ENST00000475381.5	NCEH1	117	-0.511	-0.175	0.176	0.192	0.343	0.207	-0.417	-0.068	-0.12	-0.46	-0.123	0.222	0.1	0.18	0.027	-0.049	-0.376
ENST00000476120.1	ZNF273	47	0.637	0.123	0.031	1.095	0.432	0.152	1.183	0.74	1.196	0.873	0.993	0.6	-0.059	0.44	-0.023	-0.184	0.911
ENST00000476238.6	RNASET2	328	-0.673	-0.789	-0.125	0.144	-0.082	0.239	-0.09	-0.146	-0.372	-0.447	-0.045	0.039	-0.089	0.164	-0.066	-0.087	-0.113
ENST00000476287.3	FAM120B	281	0.657	1.042	0.426	0.407	-0.134	-0.376	0.254	-0.162	0.279	0.192	0.189	0.599	0.502	0.274	0.306	0.564	0.048
ENST00000476371.1	MRPS14	622	0.186	-0.31	0.475	0.094	0.164	-0.107	0.149	-0.142	0.305	-0.279	0.075	0.066	-0.142	-0.105	-0.224	-0.38	-0.31
ENST00000476781.5	MRPL47	777	-0.174	-0.745	-0.14	-0.016	0.015	0.182	0.149	-0.376	0.082	-0.383	-0.197	-0.166	-0.086	-0.147	-0.129	-0.194	-0.723
ENST00000476832.1	ALG2	230	-0.173	0.109	-0.322	0.001	-0.401	-0.116	-0.682	-0.503	-0.234	-0.445	-0.202	-0.217	-0.405	-0.482	-0.596	-0.537	-0.68
ENST00000477703.5	SMIM4	305	0.558	-0.75	-0.245	-0.478	-0.32	-0.202	-0.152	-0.531	0.205	-1.151	-0.067	-0.016	-0.176	-0.149	-0.267	-0.664	-0.613
ENST00000477853.5	EMC1	1114	0.012	-0.243	0.026	-0.075	0.263	0.147	-0.224	-0.386	-0.003	0.057	0.024	0.11	0.007	0.108	-0.067	0.051	0.104
ENST00000477892.5	FAM162A	581	-0.333	-0.566	-0.371	-0.43	-0.196	-0.2	-0.008	-0.095	-0.384	-0.536	-0.103	-0.397	-0.502	-0.192	-0.388	-0.549	-0.277
ENST00000478722.5	GPHN	261	0.057	0.394	0.14	0.272	0.236	0.32	0.003	-0.197	0.388	0.507	0.44	0.58	0.465	0.274	-0.27	0.415	0.36
ENST00000479665.5	AZI2	109	-0.975	0.498	0.188	0.184	0.782	0.745	0.104	0.538	-0.67	0.185	0.284	-0.766	0.296	0.57	0.501	0.081	0.599
ENST00000479870.5	TCAF1	310	-0.532	0.517	-0.214	-0.029	0.47	0.535	-0.398	-0.365	-0.448	0.32	-0.117	0.21	0.779	0.361	-0.02	0.787	0.252
ENST00000479961.1	ST20-MTHFS	217	-0.354	-0.213	0.174	0.131	-0.506	-0.22	-0.198	-0.17	-0.41	-0.428	-0.189	-0.612	-0.266	-0.189	-0.259	-0.345	-0.337
ENST00000480861.5	IMPDH1	299	-0.583	-0.977	-0.917	-0.551	-0.869	-0.326	-1.185	-0.844	-0.815	-0.665	-0.901	-0.297	-0.583	-0.27	-0.274	-0.444	-0.895
ENST00000480945.5	DDI2	303	-0.056	-0.113	0.281	0.137	-0.171	-0.038	-0.406	-0.377	0.159	0.293	0.087	0.113	0.169	0.05	-0.029	-0.033	-0.091
ENST00000481195.5	PPP2CA	2495	0.348	0.21	0.689	0.279	0.1	0.024	0.115	-0.131	0.45	0.176	0.162	0.236	0.463	0.164	0.147	0.266	-0.004
